Wavelength [nm], Intensity [64 bit] LiF_1.tif
3.4787, 2.421875
3.48756104110463, 2.71875
3.49641956643704, 2.21875
3.50527557902501, 1.59375
3.51412908189632, 2.078125
3.5229800780787497, 2.34375
3.53182857060008, 2.078125
3.54067456248809, 2.390625
3.5495180567705598, 1.59375
3.55835905647527, 2.453125
3.56719756463, 2.015625
3.5760335842625297, 2.390625
3.58486711840064, 2.390625
3.59369817007211, 1.640625
3.60252674230472, 1.875
3.61135283812625, 2.5625
3.6201764605644797, 1.890625
3.62899761264719, 2.640625
3.6378162974021597, 2.8125
3.64663251785717, 2.453125
3.65544627704, 2.34375
3.66425757797843, 2.265625
3.6730664237002397, 2.46875
3.68187281723321, 2.78125
3.6906767616051197, 2.390625
3.69947825984375, 2.0
3.70827731497688, 2.453125
3.71707393003229, 1.734375
3.72586810803776, 2.5625
3.73465985202107, 2.921875
3.74344916501, 2.09375
3.7522360500323297, 2.125
3.76102051011584, 2.078125
3.7698025482883097, 2.3125
3.77858216757752, 2.171875
3.78735937101125, 2.5625
3.79613416161728, 1.671875
3.80490654242339, 2.953125
3.81367651645736, 2.53125
3.82244408674697, 2.3125
3.8312092563199998, 2.0625
3.83997202820423, 3.296875
3.84873240542744, 2.671875
3.85749039101741, 1.765625
3.86624598800192, 2.953125
3.87499919940875, 2.203125
3.88375002826568, 2.53125
3.89249847760049, 2.546875
3.9012445504409596, 2.453125
3.90998824981487, 2.453125
3.91872957875, 2.125
3.92746854027413, 2.296875
3.93620513741504, 2.71875
3.94493937320051, 3.125
3.95367125065832, 2.59375
3.96240077281625, 2.1875
3.97112794270208, 2.515625
3.97985276334359, 2.921875
3.98857523776856, 2.296875
3.99729536900477, 2.390625
4.00601316008, 1.796875
4.0147286140220295, 2.953125
4.02344173385864, 2.28125
4.03215252261761, 2.203125
4.04086098332672, 2.609375
4.04956711901375, 2.5625
4.058270932706479, 2.5
4.06697242743269, 3.203125
4.07567160622016, 2.734375
4.08436847209667, 2.78125
4.09306302809, 2.828125
4.10175527722793, 2.859375
4.11044522253824, 2.375
4.11913286704871, 3.28125
4.12781821378712, 2.8125
4.13650126578125, 2.3125
4.14518202605888, 2.796875
4.1538604976477895, 2.5
4.16253668357576, 2.1875
4.17121058687057, 2.625
4.17988221056, 3.203125
4.18855155767183, 2.75
4.19721863123384, 2.546875
4.20588343427381, 2.890625
4.21454596981952, 2.28125
4.22320624089875, 2.1875
4.23186425053928, 2.21875
4.24052000176889, 2.171875
4.2491734976153595, 1.828125
4.25782474110647, 2.546875
4.26647373527, 2.875
4.27512048313373, 2.453125
4.28376498772544, 2.1875
4.29240725207291, 2.578125
4.30104727920392, 2.71875
4.30968507214625, 2.765625
4.31832063392768, 2.765625
4.32695396757599, 2.3125
4.33558507611896, 2.6875
4.344213962584369, 3.109375
4.35284063, 2.578125
4.3614650813936295, 2.09375
4.37008731979304, 3.71875
4.37870734822601, 3.203125
4.38732516972032, 1.9375
4.39594078730375, 2.734375
4.40455420400408, 2.921875
4.41316542284909, 2.609375
4.42177444686656, 2.125
4.43038127908427, 2.609375
4.43898592253, 2.421875
4.4475883802315295, 2.15625
4.45618865521664, 2.328125
4.46478675051311, 2.671875
4.4733826691487195, 2.59375
4.48197641415125, 2.390625
4.49056798854848, 2.6875
4.49915739536819, 3.09375
4.50774463763816, 2.1875
4.51632971838617, 3.046875
4.52491264064, 2.46875
4.53349340742743, 2.9375
4.54207202177624, 2.5625
4.55064848671421, 2.890625
4.55922280526912, 2.40625
4.56779498046875, 2.21875
4.57636501534088, 2.75
4.58493291291329, 2.765625
4.59349867621376, 2.84375
4.60206230827007, 2.703125
4.61062381211, 3.171875
4.61918319076133, 2.984375
4.62774044725184, 2.125
4.63629558460931, 2.5625
4.64484860586152, 2.578125
4.65339951403625, 2.9375
4.66194831216128, 2.125
4.67049500326439, 1.9375
4.67903959037336, 2.203125
4.6875820765159695, 2.203125
4.69612246472, 2.328125
4.70466075801323, 2.5625
4.71319695942344, 3.40625
4.72173107197841, 2.484375
4.73026309870592, 2.046875
4.73879304263375, 2.9375
4.74732090678968, 2.953125
4.75584669420149, 2.90625
4.76437040789696, 3.015625
4.77289205090387, 2.21875
4.78141162625, 2.703125
4.78992913696313, 2.65625
4.7984445860710405, 2.671875
4.80695797660151, 3.296875
4.81546931158232, 3.34375
4.82397859404125, 2.046875
4.83248582700608, 2.890625
4.84099101350459, 2.9375
4.84949415656456, 3.25
4.857995259213769, 3.140625
4.86649432448, 2.890625
4.87499135539103, 3.328125
4.8834863549746395, 3.546875
4.8919793262586095, 3.0625
4.90047027227072, 3.109375
4.90895919603875, 4.109375
4.91744610059048, 2.78125
4.92593098895369, 4.0625
4.934413864156159, 4.609375
4.94289472922567, 6.5
4.95137358719, 7.390625
4.95985044107693, 7.6875
4.96832529391424, 9.21875
4.97679814872971, 12.015625
4.9852690085511195, 14.203125
4.99373787640625, 12.828125
5.00220475532288, 15.796875
5.01066964832879, 16.890625
5.01913255845176, 19.65625
5.02759348871957, 21.015625
5.03605244216, 22.84375
5.0445094218008295, 26.609375
5.05296443066984, 25.75
5.06141747179481, 27.765625
5.0698685482035195, 29.34375
5.07831766292375, 30.875
5.08676481898328, 31.265625
5.09521001940989, 30.96875
5.10365326723136, 31.5
5.11209456547547, 33.515625
5.12053391717, 35.984375
5.1289713253427305, 36.125
5.13740679302144, 38.859375
5.14584032323391, 40.28125
5.15427191900792, 39.671875
5.16270158337125, 43.859375
5.17112931935168, 45.296875
5.17955512997699, 42.859375
5.18797901827496, 41.015625
5.196400987273369, 42.5625
5.20482104, 43.890625
5.213239179482629, 43.75
5.22165540874904, 44.390625
5.23006973082701, 45.375
5.23848214874432, 44.234375
5.24689266552875, 45.3125
5.25530128420808, 47.40625
5.26370800781009, 46.0625
5.27211283936256, 45.84375
5.2805157818932695, 49.734375
5.28891683843, 48.890625
5.29731601200053, 51.59375
5.30571330563264, 53.515625
5.31410872235411, 51.453125
5.322502265192719, 50.09375
5.33089393717625, 51.109375
5.33928374133248, 50.171875
5.34767168068919, 53.796875
5.35605775827416, 53.171875
5.36444197711517, 53.734375
5.372824340239999, 53.328125
5.38120485067643, 51.6875
5.389583511452241, 54.6875
5.39796032559521, 56.109375
5.40633529613312, 55.453125
5.41470842609375, 53.328125
5.42307971850488, 55.625
5.43144917639429, 55.625
