Profile 1             Profile 2             Profile 3             Profile 4             Profile 5             Profile 6             Profile 7             Profile 8             Profile 9             Profile 10             
x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           
[]     []         []     []         []     []         []     []         []     []         []     []         []     []         []     []         []     []         []     []         
0  144.75508            0  -283.74385            0  -266.3627            0  172.38717            0  -294.13727            0  -306.17892            0  176.97357            0  -78.997174            0  164.17962            0  -267.01056            
0.0025241193  136.95706            0.0024675191  -281.86156            0.0025633729  -265.17751            0.0023803224  159.23818            0.0024672734  -288.00826            0.0024848171  -308.26252            0.0025463094  176.60735            0.0024671046  -74.515328            0.0024737647  163.87736            0.0025208361  -271.73825            
0.0050482386  135.12393            0.0049350383  -285.2841            0.0051267459  -260.10531            0.0047606447  157.54949            0.0049345468  -292.7369            0.0049696342  -300.9507            0.0050926189  172.39866            0.0049342092  -62.138088            0.0049475294  159.53155            0.0050416723  -269.29558            
0.0075723579  138.89964            0.0074025574  -289.82416            0.0076901188  -262.22699            0.0071409671  153.92374            0.0074018202  -271.27733            0.0074544513  -298.21371            0.0076389283  170.30516            0.0074013138  -60.240491            0.0074212941  161.87526            0.0075625084  -264.6276            
0.010096477  139.19873            0.0098700765  -258.51594            0.010253492  -259.39473            0.0095212895  147.47754            0.0098690936  -215.10876            0.0099392684  -302.57789            0.010185238  170.10347            0.0098684184  -44.068163            0.0098950588  168.54105            0.010083345  -254.02974            
0.012620597  135.49389            0.012337596  -101.7702            0.012816865  -264.74388            0.011901612  150.12364            0.012336367  -126.47041            0.012424085  -304.8016            0.012731547  174.12965            0.012335523  90.03656            0.012368824  165.37062            0.012604181  -211.47757            
0.015144716  126.34548            0.014805115  118.54315            0.015380238  -265.2528            0.014281934  159.90685            0.01480364  27.614171            0.014908903  -228.65481            0.015277857  177.46173            0.014802628  332.19036            0.014842588  160.60887            0.015125017  -89.085634            
0.017668835  123.95513            0.017272634  279.71975            0.01794361  -227.46373            0.016662257  172.03021            0.017270914  216.04882            0.01739372  70.462221            0.017824166  175.99692            0.017269732  555.36543            0.017316353  170.67278            0.017645853  110.43138            
0.020192954  131.40231            0.019740153  349.41586            0.020506983  -67.606318            0.019042579  373.462            0.019738187  305.47884            0.019878537  358.13736            0.020370475  288.18847            0.019736837  697.0723            0.019790118  256.20087            0.020166689  275.46251            
0.022717074  155.26459            0.022207672  386.78828            0.023070356  131.08424            0.021422901  648.04196            0.022205461  363.37709            0.022363354  453.00721            0.022916785  464.16906            0.022203941  761.75292            0.022263882  446.26521            0.022687525  401.18357            
0.025241193  224.06601            0.024675191  368.43476            0.025633729  298.09555            0.023803224  877.5476            0.024672734  428.14702            0.024848171  571.10278            0.025463094  609.12317            0.024671046  757.24492            0.024737647  639.98091            0.025208361  491.32889            
0.027765312  362.10231            0.02714271  269.5759            0.028197102  431.91451            0.026183546  1019.6248            0.027140007  464.24381            0.027332988  654.96112            0.028009404  725.64184            0.027138151  715.75041            0.027211412  788.18362            0.027729197  550.16903            
0.030289432  539.70364            0.02961023  120.38107            0.030760475  510.76847            0.028563868  1076.0695            0.029607281  452.86854            0.029817805  631.37307            0.030555713  776.79337            0.029605255  632.40869            0.029685177  890.34258            0.030250034  582.66307            
0.032813551  691.74905            0.032077749  -105.37883            0.033323848  546.45323            0.030944191  1091.5064            0.032074554  401.6128            0.032302622  600.13158            0.033102023  780.83864            0.03207236  511.69024            0.032158941  949.86204            0.03277087  579.76539            
0.03533767  794.1308            0.034545268  -270.91819            0.035887221  555.69836            0.033324513  1082.1855            0.034541828  297.3818            0.034787439  511.60713            0.035648332  746.83632            0.034539464  336.15356            0.034632706  972.22459            0.035291706  528.80129            
0.03786179  859.05589            0.037012787  -276.36206            0.038450594  539.70485            0.035704835  1064.5366            0.037009101  202.41666            0.037272256  320.95521            0.038194642  683.35577            0.037006569  112.15436            0.037106471  980.03006            0.037812542  442.90294            
0.040385909  882.7285            0.039480306  -292.4604            0.041013967  489.86824            0.038085158  1015.8581            0.039476374  107.55271            0.039757073  156.99712            0.040740951  571.21611            0.039473674  -44.182332            0.039580235  975.62324            0.040333378  349.74038            
0.042910028  860.87954            0.041947825  -294.54706            0.04357734  407.45645            0.04046548  927.58631            0.041943648  -83.777757            0.042241891  -53.990658            0.04328726  394.96199            0.041940778  -67.593715            0.042054  946.65747            0.042854214  250.72873            
0.045434147  806.46822            -          -              0.046140713  289.78815            0.042845803  791.25072            0.044410921  -269.72916            0.044726708  -215.34612            0.04583357  219.27789            0.044407883  -74.06935            0.044527765  889.54529            0.04537505  119.85232            
0.047958267  731.09434            -          -              0.048704086  204.86667            0.045226125  603.34617            0.046878195  -322.53332            0.047211525  -281.9579            0.048379879  181.07727            0.046874987  -84.12365            0.047001529  806.41762            0.047895887  -44.746168            
0.050482386  603.03038            -          -              0.051267459  -60.236091            0.047606447  365.39652            0.049345468  -322.00579            0.049696342  -286.36118            0.050926189  180.52504            0.049342092  -89.624789            0.049475294  703.73914            0.050416723  -195.68143            
