Profile 1             Profile 2             
x       y           x       y           
[]     []         []     []         
0  162.14644            0  156.06548            
0.0024972015  170.31075            0.0025017253  146.12775            
0.004994403  176.44315            0.0050034507  161.00665            
0.0074916045  172.22352            0.007505176  163.14108            
0.009988806  171.72735            0.010006901  161.74749            
0.012486008  170.64265            0.012508627  156.37284            
0.014983209  168.38276            0.015010352  154.45373            
0.017480411  169.23578            0.017512077  160.93421            
0.019977612  173.09254            0.020013803  166.5727            
0.022474814  171.12219            0.022515528  166.52106            
0.024972015  166.30002            0.025017253  172.81332            
0.027469217  166.46902            0.027518979  171.74793            
0.029966418  164.12028            0.030020704  171.06081            
0.03246362  157.13009            0.032522429  166.69357            
0.034960821  155.40547            0.035024155  163.3835            
0.037458023  161.43499            0.03752588  171.46169            
0.039955224  172.75406            0.040027605  170.68281            
0.042452426  176.55183            0.042529331  160.33051            
0.044949627  172.48289            0.045031056  161.41154            
0.047446829  166.21109            0.047532781  158.05723            
0.04994403  163.0255            0.050034507  156.66125            
0.052441232  170.50365            0.052536232  162.99373            
0.054938433  174.84604            0.055037957  164.47903            
0.057435635  166.53324            0.057539683  157.80553            
0.059932836  165.78796            0.060041408  157.27235            
0.062430038  165.42297            0.062543133  159.93734            
0.064927239  163.02841            0.065044859  163.95699            
0.067424441  162.41662            0.067546584  165.2898            
0.069921642  165.78737            0.070048309  168.3617            
0.072418844  165.98666            0.072550035  168.79039            
0.074916045  165.70763            0.07505176  171.04431            
0.077413247  165.29896            0.077553485  168.89758            
0.079910448  162.51778            0.08005521  171.82519            
0.08240765  157.4449            0.082556936  168.20606            
0.084904851  157.48067            0.085058661  179.9729            
0.087402053  161.31139            0.087560386  178.72309            
0.089899254  170.40636            0.090062112  171.92188            
0.092396456  173.51935            0.092563837  169.92504            
0.094893657  169.67066            0.095065562  173.45077            
0.097390859  161.61138            0.097567288  177.83621            
0.09988806  158.91208            0.10006901  176.92017            
0.10238526  167.48622            0.10257074  177.68897            
0.10488246  173.40624            0.10507246  175.84441            
0.10737966  168.44782            0.10757419  168.51209            
0.10987687  170.46035            0.11007591  168.16452            
0.11237407  168.76608            0.11257764  177.01576            
0.11487127  167.74912            0.11507937  182.57381            
0.11736847  169.06313            0.11758109  179.04093            
0.11986567  172.6146            0.12008282  180.71498            
0.12236287  169.99375            0.12258454  179.01631            
0.12486008  167.79851            0.12508627  175.12745            
0.12735728  167.16198            0.12758799  175.15409            
0.12985448  163.99521            0.13008972  177.02239            
0.13235168  157.9967            0.13259144  188.80733            
0.13484888  155.73251            0.13509317  178.63213            
0.13734608  157.2751            0.13759489  180.24403            
0.13984328  168.20923            0.14009662  174.44652            
0.14234049  170.13635            0.14259834  171.54398            
0.14483769  167.52629            0.14510007  176.42648            
0.14733489  161.10187            0.14760179  172.07446            
0.14983209  161.89514            0.15010352  173.12063            
0.15232929  170.63629            0.15260524  169.23163            
0.15482649  172.61159            0.15510697  166.92028            
0.15732369  165.17587            0.1576087  168.76947            
0.1598209  167.13997            0.16011042  173.0627            
0.1623181  163.05737            0.16261215  173.95895            
0.1648153  161.75883            0.16511387  178.26066            
0.1673125  160.8484            0.1676156  186.6943            
0.1698097  161.87478            0.17011732  187.67872            
0.1723069  162.01545            0.17261905  202.73077            
0.17480411  164.61029            0.17512077  176.54371            
0.17730131  166.00522            0.1776225  182.96078            
0.17979851  162.00903            0.18012422  181.33884            
0.18229571  156.53763            0.18262595  178.53291            
0.18479291  156.90243            0.18512767  172.52468            
0.18729011  163.68646            0.1876294  168.58874            
0.18978731  170.32681            0.19013112  173.51105            
0.19228452  167.65657            0.19263285  176.32126            
0.19478172  163.06752            0.19513458  179.12765            
0.19727892  156.00182            0.1976363  166.51028            
0.19977612  158.50924            0.20013803  165.79778            
0.20227332  166.05757            0.20263975  170.7485            
0.20477052  166.58531            0.20514148  169.43102            
0.20726772  163.55147            0.2076432  168.3378            
0.20976493  166.22644            0.21014493  168.18108            
0.21226213  162.24222            0.21264665  177.52162            
0.21475933  161.43179            0.21514838  170.6073            
0.21725653  159.84745            0.2176501  176.09012            
0.21975373  160.26967            0.22015183  168.84877            
0.22225093  158.93409            0.22265355  178.07448            
0.22474814  160.25            0.22515528  174.91044            
0.22724534  158.92524            0.227657  167.48691            
0.22974254  153.2908            0.23015873  178.70887            
0.23223974  146.82604            0.23266046  169.10645            
0.23473694  149.01606            0.23516218  177.83344            
0.23723414  159.78829            0.23766391  176.46175            
0.23973134  167.89791            0.24016563  176.3833            
0.24222855  164.65295            0.24266736  168.42634            
0.24472575  161.02091            0.24516908  161.61676            
0.24722295  155.21869            0.24767081  169.16304            
0.24972015  158.91846            0.25017253  175.40706            
0.25221735  164.4002            0.25267426  169.87243            
0.25471455  162.4171            0.25517598  162.51412            
0.25721175  160.88823            0.25767771  166.03835            
0.25970896  158.10157            0.26017943  163.60304            
0.26220616  153.74257            0.26268116  169.99718            
0.26470336  150.52859            0.26518288  161.82575            
0.26720056  151.18034            0.26768461  169.22423            
0.26969776  151.35621            0.27018634  172.45353            
0.27219496  152.04924            -          -              
0.27469217  156.1636            -          -              
0.27718937  154.60852            -          -              
0.27968657  149.06727            -          -              
0.28218377  143.75659            -          -              
0.28468097  147.17394            -          -              
