Profile 1             Profile 2             Profile 3             
x       y           x       y           x       y           
[]     []         []     []         []     []         
0  -321.43761            0  -284.73649            0  -288.96986            
0.0024873289  -327.90614            0.0024862628  -284.20433            0.0025107521  -293.91297            
0.0049746579  -329.61677            0.0049725256  -289.61288            0.0050215043  -297.05073            
0.0074619868  -328.39344            0.0074587884  -303.83345            0.0075322564  -301.66812            
0.0099493158  -327.58428            0.0099450512  -309.51548            0.010043009  -306.41454            
0.012436645  -324.55276            0.012431314  -307.64431            0.012553761  -304.49505            
0.014923974  -320.62361            0.014917577  -311.59182            0.015064513  -296.21531            
0.017411303  -317.9766            0.01740384  -306.08895            0.017575265  -287.05534            
0.019898632  -318.11555            0.019890102  -287.73581            0.020086017  -286.38759            
0.02238596  -316.03608            0.022376365  -281.04409            0.022596769  -284.71419            
0.024873289  -318.44233            0.024862628  -280.84166            0.025107521  -277.26678            
0.027360618  -320.11655            0.027348891  -284.79046            0.027618274  -280.1785            
0.029847947  -323.88278            0.029835154  -290.863            0.030129026  -283.73635            
0.032335276  -327.59575            0.032321416  -295.59609            0.032639778  -287.34215            
0.034822605  -315.18087            0.034807679  -290.8308            0.03515053  -289.88152            
0.037309934  -245.45988            0.037293942  -284.85089            0.037661282  -289.91781            
0.039797263  -156.31266            0.039780205  -281.64309            0.040172034  -291.38134            
0.042284592  -121.98258            0.042266468  -257.15158            0.042682786  -288.35769            
0.044771921  -100.73424            0.04475273  -217.9783            0.045193539  -269.91229            
0.04725925  -87.905024            0.047238993  -168.68076            0.047704291  -230.12337            
0.049746579  -83.683939            0.049725256  -114.57591            0.050215043  -166.11396            
0.052233908  -83.96211            0.052211519  -80.97231            0.052725795  -106.91593            
0.054721237  -86.009035            0.054697782  -76.637729            0.055236547  -78.933474            
0.057208566  -79.61947            0.057184044  -79.358756            0.057747299  -68.20514            
0.059695895  -85.043958            0.059670307  -74.798395            0.060258051  -59.302178            
0.062183223  -84.689718            0.06215657  -63.945223            0.062768803  -49.817304            
0.064670552  -88.416636            0.064642833  -61.856079            0.065279556  -51.41555            
0.067157881  -90.28264            0.067129096  -70.033831            0.067790308  -55.353477            
0.06964521  -87.764646            0.069615359  -74.793106            0.07030106  -58.423288            
0.072132539  -85.859179            0.072101621  -69.791293            0.072811812  -60.771726            
0.074619868  -85.389511            0.074587884  -66.575901            0.075322564  -55.581362            
0.077107197  -88.393251            0.077074147  -68.890477            0.077833316  -55.547673            
0.079594526  -86.010933            0.07956041  -72.287648            0.080344068  -60.087655            
0.082081855  -79.804024            0.082046673  -73.473571            0.082854821  -61.110645            
0.084569184  -79.006353            0.084532935  -71.24327            0.085365573  -60.012287            
0.087056513  -85.585053            0.087019198  -65.549567            0.087876325  -56.903424            
0.089543842  -89.406108            0.089505461  -66.852921            0.090387077  -53.702818            
0.092031171  -87.57704            0.091991724  -75.271626            0.092897829  -56.831661            
0.0945185  -90.406312            0.094477987  -77.935371            0.095408581  -61.201178            
0.097005829  -89.06564            0.096964249  -72.042894            0.097919333  -64.226023            
0.099493158  -63.46978            0.099450512  -66.162852            0.10043009  -65.441037            
0.10198049  7.8384151            0.10193677  -69.040461            0.10294084  -58.384186            
0.10446782  81.139931            0.10442304  -64.874379            0.10545159  -56.223457            
0.10695514  109.19255            0.1069093  -64.98764            0.10796234  -57.05964            
0.10944247  123.46947            0.10939556  -63.196481            0.11047309  -59.963496            
0.1119298  130.97628            0.11188183  -68.31572            0.11298385  -67.362013            
0.11441713  131.95904            0.11436809  -66.148565            0.1154946  -65.453121            
0.11690446  129.63723            0.11685435  -61.379249            0.11800535  -64.642663            
0.11939179  128.54915            0.11934061  -64.209601            0.1205161  -66.219633            
0.12187912  134.63661            0.12182688  -66.489401            0.12302685  -63.383577            
0.12436645  141.36559            0.12431314  -64.074765            0.12553761  -63.529528            
0.12685378  139.43602            0.1267994  -67.51879            0.12804836  -59.642228            
0.1293411  133.83554            0.12928567  -66.868594            0.13055911  -53.481067            
0.13182843  131.88324            0.13177193  -61.934014            0.13306986  -54.871412            
0.13431576  132.05402            0.13425819  -44.03815            0.13558062  -51.760549            
0.13680309  131.74894            0.13674445  7.7563549            0.13809137  -17.820043            
0.13929042  128.8985            0.13923072  70.169615            0.14060212  41.104446            
0.14177775  132.14202            0.14171698  113.33592            0.14311287  94.343066            
0.14426508  140.2121            0.14420324  134.45295            0.14562362  122.35843            
0.14675241  139.4147            0.14668951  146.31185            0.14813438  139.73493            
0.14923974  126.76064            0.14917577  176.73994            0.15064513  154.9195            
0.15172707  138.54052            0.15166203  178.96464            0.15315588  164.98195            
0.15421439  135.50914            0.15414829  155.08954            0.15566663  166.30877            
0.15670172  131.77048            0.15663456  145.25229            0.15817738  157.09992            
0.15918905  124.84551            0.15912082  141.18362            0.16068814  148.59081            
0.16167638  120.47467            0.16160708  144.45382            0.16319889  150.68381            
-          -              0.16409335  147.30274            0.16570964  159.12875            
-          -              0.16657961  149.34415            0.16822039  168.06203            
-          -              0.16906587  152.95757            0.17073115  170.2525            
-          -              0.17155213  151.11287            0.1732419  157.29487            
-          -              0.1740384  148.89574            0.17575265  147.95785            
-          -              0.17652466  153.16155            0.1782634  153.17872            
-          -              0.17901092  171.70535            0.18077415  159.86061            
-          -              0.18149718  184.4206            0.18328491  161.6555            
-          -              0.18398345  194.64091            0.18579566  157.0652            
-          -              0.18646971  161.86928            0.18830641  147.78068            
-          -              0.18895597  156.72554            0.19081716  150.15188            
-          -              0.19144224  154.76886            0.19332791  158.09824            
-          -              0.1939285  158.84832            0.19583867  161.32065            
-          -              0.19641476  156.77057            0.19834942  157.26302            
-          -              -          -              0.20086017  150.8173            
